,Unnamed: 0,Law,Paragraph,Text,Category,text_clean,A,B,C,D
0,0,Resolution 153/2010 by National Civil Aviation  Agency,"Art. 5, sole par","If any competent body on the matter imposes modification of the Airport Master Plan (PDIR), the operator must request a new approval from ANAC.",A,if ani compet bodi on the matter impos modif of the airport master plan pdir the oper must request a new approv from anac,0.655080802801507,0.6112239263140354,0.6132669355730307,0.6163436909876359
2,2,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art.4,The National Civil Aviation Secretary must authorise lease of airport areas whose term is longer than the airport concession period.,A,the nation civil aviat secretari must authoris lea of airport area whose term is longer than the airport concess period,0.7253777443937979,0.7269202288490132,0.6924514457548826,0.690616512549022
3,3,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art. 6,"The commercial contract which involves the use of spaces in the airport and goes beyond the period of the airport concession must meet the following requirements: (i) provision of contractual subrogation to the future operator after the termination of the current concession; (ii) the project must be economically unfeasible in the period of the remaining term of the concession; (iii) the weighted cost of capital for the project must be equal or less than that of the concession (marginal cash flow); (iv) periodic remuneration, in equal or increasing instalments; (v) the penalties for the termination must be decreasing over the term of contract and the corresponding indemnity must correspond to the investments that had not yet been amortized; (vi) the duties of the subrogated party must be the same of the former concessionaire; (vii) the contractor may not be awarded an exclusivity after the term of the current concession; (viii) related parties to the concessionaire must not be a party of the contract; (ix) the period between the termination of the airport concession and the termination of the commercial contract must be: (a) equal to or less than 30 years, if the remaining term of the concession is greater than 10 years or (b) equal to or less than half of the term of the commercial contract, if the remaining term of the concession is equal or less than 10 years.",A,the commerci contract which involv the use of space in the airport and goe beyond the period of the airport concess must meet the follow requir i provis of contractu subrog to the futur oper after the termin of the current concess ii the project must be econom unfeas in the period of the remain term of the concess iii the weight cost of capit for the project must be equal or le than that of the concess margin cash flow iv period remuner in equal or increas instal v the penalti for the termin must be decreas over the term of contract and the correspond indemn must correspond to the invest that had not yet been amort vi the duti of the subrog parti must be the same of the former concessionair vii the contractor may not be award an exclus after the term of the current concess viii relat parti to the concessionair must not be a parti of the contract ix the period between the termin of the airport concess and the termin of the commerci contract must be a equal to or le than year if the remain term of the concess is greater than year or b equal to or le than half of the term of the commerci contract if the remain term of the concess is equal or le than year,0.7321730938536279,0.7334283505809199,0.7278697695976418,0.700280579801817
4,4,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art. 7,"The National Civil Aviation Secretary may authorise commercial contracts with even longer terms than those stated in art. 6, item IX, if they are related to the exploitation of operating activities that can only be performed at the airport.",A,the nation civil aviat secretari may authoris commerci contract with even longer term than those state in art item ix if they are relat to the exploit of oper activ that can onli be perform at the airport,0.7321730938536279,0.7334283505809199,0.7278697695976418,0.700280579801817
5,5,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art. 7,"The National Civil Aviation Secretary may authorise commercial contracts with even longer terms than those stated in art. 6, item IX, if they are related to the exploitation of operating activities that can only be performed at the airport.",A,the nation civil aviat secretari may authoris commerci contract with even longer term than those state in art item ix if they are relat to the exploit of oper activ that can onli be perform at the airport,0.494831761997016,0.5020170983708848,0.46256411963532185,0.5445741191026944
6,6,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art. 11,"Cases not allowing the maintenance of commercial concession contracts in case of early termination of the airport concession: (i) late payment of the concession fees by the concessionaire; (ii) ongoing termination proceeding, due to a breach by the concessionaire; and (iii) the concessionaire is under judicial recovery or have requested a rebidding proceeding (“relicitação”).",B,case not allow the mainten of commerci concess contract in case of earli termin of the airport concess i late payment of the concess fee by the concessionair ii ongo termin proceed due to a breach by the concessionair and iii the concessionair is under judici recoveri or have request a rebid proceed “ relicitação ”,0.7460319780707081,0.732207714576159,0.7039765325177263,0.6600622497311328
7,7,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art. 13,"To maintain the concession commercial contracts in case of early termination of the airport concession, the contracts must meet the following requirements: (i) periodic remuneration, in equal or increasing instalments; (ii) the penalties for the termination must be decreasing over the term of contract; (iii) the duties of the subrogated party must be the same of the former concessionaire; (iv) related parties to the concessionaire must not be a party of the contract; (v) minimum investment values, varying according to the size of the airport.",A,to maintain the concess commerci contract in case of earli termin of the airport concess the contract must meet the follow requir i period remuner in equal or increas instal ii the penalti for the termin must be decreas over the term of contract iii the duti of the subrog parti must be the same of the former concessionair iv relat parti to the concessionair must not be a parti of the contract v minimum invest valu vari accord to the size of the airport,0.6964363977544328,0.6788074623661928,0.6606498488272282,0.6596043178062118
8,8,Decree Law  270/1967 - Air Fund,Art. 12,There will be a public tender for leasing airport areas for provision of services to the general public of the airport.,A,there will be a public tender for lea airport area for provis of servic to the gener public of the airport,0.7661599484084065,0.8244292803120084,0.7813392511743557,0.7892606330624722
9,9,INFRAERO's Internal Bidding and Contract Regulation,"Art. 12, item I","In procurement of goods, specific brands may be indicated for technical reasons, in the following cases: (i) due to the need to standardize the object; (ii) when a certain brand or model marketed by more than one supplier is the only one capable of meeting Infraero’s needs; (iii) when the description of the object to be tendered can be better understood by the identification of a certain brand or certain model, only as a reference.",A,in procur of good specif brand may be indic for technic reason in the follow case i due to the need to standard the object ii when a certain brand or model market by more than one supplier is the onli one capabl of meet infraero ’ s need iii when the descript of the object to be tender can be better understood by the identif of a certain brand or certain model onli a a refer,0.6621122509635172,0.6910786509103768,0.6852725600298418,0.6800098029073224
10,10,INFRAERO's Internal Bidding and Contract Regulation,"Art. 18, par. 2",Infraero may pre-qualify bidders and exclude non-prequalified bidders from bids.,A,infraero may pre-qualifi bidder and exclud non-prequalifi bidder from bid,0.6621122509635172,0.6910786509103768,0.6852725600298418,0.6800098029073224
11,11,INFRAERO's Internal Bidding and Contract Regulation,"Art. 18, par. 2",Infraero may pre-qualify bidders and exclude non-prequalified bidders from bids.,A,infraero may pre-qualifi bidder and exclud non-prequalifi bidder from bid,0.5597241805661439,0.5438885622469279,0.5443446562712211,0.52273304290693
12,12,INFRAERO's Internal Bidding and Contract Regulation,"Art. 19, par. 16",Foreign companies not operating in Brazil must present the equivalent documents translated by a certified translator and must have a legal representative in Brazil.,A,foreign compani not oper in brazil must present the equival document translat by a certifi translat and must have a legal repres in brazil,0.5597241805661439,0.5438885622469279,0.5443446562712211,0.52273304290693
13,13,INFRAERO's Internal Bidding and Contract Regulation,"Art. 19, par. 16",Foreign companies not operating in Brazil must present the equivalent documents translated by a certified translator and must have a legal representative in Brazil.,A,foreign compani not oper in brazil must present the equival document translat by a certifi translat and must have a legal repres in brazil,0.6379928338507117,0.66192197132742,0.6632439739340046,0.6865548583586231
14,14,INFRAERO's Internal Bidding and Contract Regulation,"Art. 27, par. 5",The tender notice may exclude non-prequalified bidders from bids.,A,the tender notic may exclud non-prequalifi bidder from bid,0.5875835024615321,0.6158596121753809,0.6083380791434905,0.6643616371295445
15,15,INFRAERO's Internal Bidding and Contract Regulation,"Art. 31, item I","Tender processes may follow the “open method”, under which bidders submit offers publicly and may make supplementary offers.",C,tender process may follow the “ open method ” under which bidder submit offer publicli and may make supplementari offer,0.5893490722815452,0.6522174303683088,0.6391625291713098,0.6969557837052506
16,16,INFRAERO's Internal Bidding and Contract Regulation,"Art. 31, item III","For engineering services, the winning bidder must present the breakdown of prices.",A,for engin servic the win bidder must present the breakdown of price,0.5661424071446677,0.5946187467927894,0.5713872177618604,0.6219085641474866
17,17,INFRAERO's Internal Bidding and Contract Regulation,Art. 49,The duration of commercial concession contracts must be limited to: (i) 120 months (concessions without investments) or (ii) 240 months (concessions with investments).,A,the durat of commerci concess contract must be limit to i month concess without invest or ii month concess with invest,0.7077462775302559,0.6921251806517528,0.6890943580577858,0.6575474143516469
18,18,INFRAERO's Internal Bidding and Contract Regulation,Art. 52,"The contract may allow sub-concession of commercial concession contracts, but it must be limited to 50% of the area and aimed at the execution of ancillary services to the main activity of the contract. Infraero must authorize any sub-concession.",A,the contract may allow sub-concess of commerci concess contract but it must be limit to of the area and aim at the execut of ancillari servic to the main activ of the contract infraero must author ani sub-concess,0.737546168561773,0.7126440092093814,0.7196745050471087,0.682345816201321
19,19,INFRAERO's Internal Bidding and Contract Regulation,Art. 54,"Situations in which contracts may be directly awarded: (i) sale or provision of goods or services comprising the corporate purpose of the SOE; (ii) choice of the private partner involves specific characteristics, preventing a competitive procedure.",A,situat in which contract may be directli award i sale or provis of good or servic compris the corpor purpos of the soe ii choic of the privat partner involv specif characterist prevent a competit procedur,0.6946730628686809,0.7727353520896175,0.7468770805349992,0.8126284098977493
